4:205 -> K: 24 | acc: 52.800000000000004
4:206 -> K: 24 | acc: 54.400000000000006
4:207 -> K: 24 | acc: 53.6
4:208 -> K: 22 | acc: 52.800000000000004
4:209 -> K: 24 | acc: 52.800000000000004
4:210 -> K: 24 | acc: 52.800000000000004
4:211 -> K: 24 | acc: 52.0
4:212 -> K: 24 | acc: 52.800000000000004
4:213 -> K: 24 | acc: 51.2
4:214 -> K: 24 | acc: 50.4
4:215 -> K: 24 | acc: 51.2
4:216 -> K: 24 | acc: 51.2
4:217 -> K: 24 | acc: 51.2
4:218 -> K: 24 | acc: 51.2
4:219 -> K: 24 | acc: 51.2
4:220 -> K: 24 | acc: 50.4
4:221 -> K: 24 | acc: 50.4
4:222 -> K: 24 | acc: 52.0
4:223 -> K: 24 | acc: 51.2
4:224 -> K: 24 | acc: 51.2
4:225 -> K: 24 | acc: 50.4
4:226 -> K: 24 | acc: 50.4
4:227 -> K: 24 | acc: 50.4
4:228 -> K: 24 | acc: 50.4
4:229 -> K: 24 | acc: 50.4
4:230 -> K: 24 | acc: 49.6
4:231 -> K: 24 | acc: 49.6
4:232 -> K: 23 | acc: 49.6
4:233 -> K: 23 | acc: 49.6
4:234 -> K: 23 | acc: 49.6
4:235 -> K: 23 | acc: 49.6
4:236 -> K: 23 | acc: 49.6
4:237 -> K: 23 | acc: 49.6
4:238 -> K: 23 | acc: 49.6
4:239 -> K: 23 | acc: 49.6
4:240 -> K: 23 | acc: 49.6
5:65 -> K: 21 | acc: 52.800000000000004
5:66 -> K: 22 | acc: 55.2
5:67 -> K: 20 | acc: 52.800000000000004
5:68 -> K: 20 | acc: 58.4
5:69 -> K: 23 | acc: 58.4
5:70 -> K: 21 | acc: 58.4
5:71 -> K: 21 | acc: 58.4
5:72 -> K: 21 | acc: 56.8
5:73 -> K: 20 | acc: 56.00000000000001
5:74 -> K: 23 | acc: 55.2
5:75 -> K: 20 | acc: 53.6
5:76 -> K: 20 | acc: 66.4
6:65 -> K: 22 | acc: 52.0
6:66 -> K: 20 | acc: 55.2
6:67 -> K: 21 | acc: 54.400000000000006
6:68 -> K: 20 | acc: 58.4
6:69 -> K: 21 | acc: 57.599999999999994
6:70 -> K: 20 | acc: 52.800000000000004
6:71 -> K: 20 | acc: 55.2
6:72 -> K: 20 | acc: 55.2
6:73 -> K: 21 | acc: 54.400000000000006
6:74 -> K: 20 | acc: 53.6
6:75 -> K: 21 | acc: 56.8
6:76 -> K: 20 | acc: 63.2
6:77 -> K: 21 | acc: 63.2
6:78 -> K: 20 | acc: 63.2
6:79 -> K: 20 | acc: 64.0
6:80 -> K: 21 | acc: 63.2
6:81 -> K: 20 | acc: 64.0
6:82 -> K: 20 | acc: 65.60000000000001
6:83 -> K: 20 | acc: 65.60000000000001
6:84 -> K: 20 | acc: 62.4
6:85 -> K: 21 | acc: 64.8
6:86 -> K: 21 | acc: 67.2
6:87 -> K: 21 | acc: 65.60000000000001
6:88 -> K: 20 | acc: 65.60000000000001
6:89 -> K: 20 | acc: 65.60000000000001
6:90 -> K: 23 | acc: 66.4
6:91 -> K: 23 | acc: 67.2
6:92 -> K: 23 | acc: 68.0
6:93 -> K: 21 | acc: 67.2
6:94 -> K: 23 | acc: 67.2
6:95 -> K: 21 | acc: 68.0
6:96 -> K: 21 | acc: 67.2
6:97 -> K: 20 | acc: 66.4
6:98 -> K: 20 | acc: 68.0
6:99 -> K: 20 | acc: 65.60000000000001
6:100 -> K: 20 | acc: 68.0
6:101 -> K: 20 | acc: 68.0
6:102 -> K: 23 | acc: 66.4
6:103 -> K: 23 | acc: 68.0
6:104 -> K: 21 | acc: 67.2
6:105 -> K: 20 | acc: 65.60000000000001
6:106 -> K: 21 | acc: 63.2
6:107 -> K: 23 | acc: 64.8
6:108 -> K: 21 | acc: 65.60000000000001
6:109 -> K: 23 | acc: 63.2
6:110 -> K: 23 | acc: 64.0
6:111 -> K: 23 | acc: 64.8
6:112 -> K: 23 | acc: 64.0
6:113 -> K: 22 | acc: 65.60000000000001
6:114 -> K: 22 | acc: 65.60000000000001
6:115 -> K: 23 | acc: 64.0
6:116 -> K: 22 | acc: 65.60000000000001
6:117 -> K: 22 | acc: 67.2
6:118 -> K: 23 | acc: 68.0
6:119 -> K: 23 | acc: 68.0
6:120 -> K: 23 | acc: 69.6
6:121 -> K: 23 | acc: 68.8
6:122 -> K: 23 | acc: 69.6
6:123 -> K: 23 | acc: 68.8
6:124 -> K: 23 | acc: 68.8
6:125 -> K: 24 | acc: 68.0
6:126 -> K: 23 | acc: 68.0
6:127 -> K: 23 | acc: 70.39999999999999
6:128 -> K: 23 | acc: 69.6
6:129 -> K: 23 | acc: 68.8
6:130 -> K: 23 | acc: 69.6
6:131 -> K: 23 | acc: 68.8
6:132 -> K: 23 | acc: 69.6
6:133 -> K: 23 | acc: 68.8
6:134 -> K: 23 | acc: 68.0
6:135 -> K: 23 | acc: 66.4
6:136 -> K: 23 | acc: 68.0
6:137 -> K: 23 | acc: 64.0
6:138 -> K: 23 | acc: 64.8
6:139 -> K: 23 | acc: 63.2
6:140 -> K: 24 | acc: 64.0
6:141 -> K: 24 | acc: 64.0
6:142 -> K: 23 | acc: 65.60000000000001
6:143 -> K: 23 | acc: 68.0
6:144 -> K: 23 | acc: 68.8
6:145 -> K: 24 | acc: 67.2
6:146 -> K: 24 | acc: 66.4
6:147 -> K: 24 | acc: 64.8
6:148 -> K: 24 | acc: 64.8
6:149 -> K: 24 | acc: 67.2
6:150 -> K: 24 | acc: 68.0
6:151 -> K: 23 | acc: 64.0
6:152 -> K: 24 | acc: 64.8
6:153 -> K: 23 | acc: 64.0
6:154 -> K: 23 | acc: 63.2
6:155 -> K: 24 | acc: 62.4
6:156 -> K: 24 | acc: 64.0
6:157 -> K: 23 | acc: 62.4
6:158 -> K: 24 | acc: 64.8
6:159 -> K: 24 | acc: 64.8
6:160 -> K: 24 | acc: 64.0
6:161 -> K: 24 | acc: 61.6
6:162 -> K: 24 | acc: 64.0
6:163 -> K: 24 | acc: 64.0
6:164 -> K: 24 | acc: 65.60000000000001
6:165 -> K: 24 | acc: 64.8
6:166 -> K: 24 | acc: 64.0
6:167 -> K: 24 | acc: 64.8
6:168 -> K: 24 | acc: 67.2
6:169 -> K: 24 | acc: 65.60000000000001
6:170 -> K: 24 | acc: 64.8
6:171 -> K: 24 | acc: 65.60000000000001
6:172 -> K: 24 | acc: 68.0
6:173 -> K: 24 | acc: 66.4
6:174 -> K: 24 | acc: 65.60000000000001
6:175 -> K: 24 | acc: 64.0
6:176 -> K: 24 | acc: 64.0
6:177 -> K: 24 | acc: 64.8
6:178 -> K: 24 | acc: 64.8
6:179 -> K: 24 | acc: 62.4
6:180 -> K: 24 | acc: 59.199999999999996
6:181 -> K: 24 | acc: 60.8
6:182 -> K: 24 | acc: 62.4
6:183 -> K: 24 | acc: 61.6
6:184 -> K: 24 | acc: 61.6
6:185 -> K: 24 | acc: 60.8
6:186 -> K: 24 | acc: 61.6
6:187 -> K: 24 | acc: 60.8
6:188 -> K: 24 | acc: 59.199999999999996
6:189 -> K: 24 | acc: 60.8
6:190 -> K: 24 | acc: 59.199999999999996
6:191 -> K: 23 | acc: 58.4
6:192 -> K: 24 | acc: 60.8
6:193 -> K: 23 | acc: 59.199999999999996
6:194 -> K: 23 | acc: 59.199999999999996
6:195 -> K: 24 | acc: 58.4
6:196 -> K: 24 | acc: 60.0
6:197 -> K: 24 | acc: 61.6
6:198 -> K: 24 | acc: 60.0
6:199 -> K: 24 | acc: 60.0
6:200 -> K: 24 | acc: 60.0
6:201 -> K: 24 | acc: 60.0
6:202 -> K: 24 | acc: 59.199999999999996
6:203 -> K: 24 | acc: 59.199999999999996
6:204 -> K: 23 | acc: 57.599999999999994
6:205 -> K: 23 | acc: 58.4
6:206 -> K: 23 | acc: 57.599999999999994
6:207 -> K: 23 | acc: 56.8
6:208 -> K: 24 | acc: 59.199999999999996
6:209 -> K: 24 | acc: 58.4
6:210 -> K: 23 | acc: 57.599999999999994
6:211 -> K: 23 | acc: 58.4
6:212 -> K: 23 | acc: 58.4
6:213 -> K: 23 | acc: 59.199999999999996
6:214 -> K: 23 | acc: 58.4
6:215 -> K: 23 | acc: 59.199999999999996
6:216 -> K: 23 | acc: 59.199999999999996
6:217 -> K: 23 | acc: 57.599999999999994
6:218 -> K: 23 | acc: 56.00000000000001
6:219 -> K: 23 | acc: 57.599999999999994
6:220 -> K: 23 | acc: 56.8
6:221 -> K: 23 | acc: 56.8
6:222 -> K: 23 | acc: 57.599999999999994
6:223 -> K: 23 | acc: 57.599999999999994
6:224 -> K: 23 | acc: 57.599999999999994
6:225 -> K: 23 | acc: 57.599999999999994
6:226 -> K: 23 | acc: 57.599999999999994
6:227 -> K: 23 | acc: 56.8
6:228 -> K: 23 | acc: 57.599999999999994
6:229 -> K: 23 | acc: 56.8
6:230 -> K: 23 | acc: 56.8
6:231 -> K: 23 | acc: 56.8
6:232 -> K: 23 | acc: 56.00000000000001
6:233 -> K: 23 | acc: 56.00000000000001
6:234 -> K: 23 | acc: 56.8
6:235 -> K: 23 | acc: 56.8
6:236 -> K: 23 | acc: 56.8
6:237 -> K: 23 | acc: 56.00000000000001
6:238 -> K: 23 | acc: 56.00000000000001
6:239 -> K: 23 | acc: 56.00000000000001
6:240 -> K: 23 | acc: 56.00000000000001
6:241 -> K: 23 | acc: 56.00000000000001
6:242 -> K: 23 | acc: 56.00000000000001
6:243 -> K: 23 | acc: 56.00000000000001
6:244 -> K: 23 | acc: 56.00000000000001
6:245 -> K: 23 | acc: 56.00000000000001
6:246 -> K: 23 | acc: 56.00000000000001
6:247 -> K: 23 | acc: 56.00000000000001
7:65 -> K: 20 | acc: 56.8
7:66 -> K: 21 | acc: 56.00000000000001
7:67 -> K: 20 | acc: 54.400000000000006
7:68 -> K: 21 | acc: 61.6
7:69 -> K: 22 | acc: 63.2
7:70 -> K: 23 | acc: 62.4
7:71 -> K: 21 | acc: 61.6
7:72 -> K: 24 | acc: 61.6
7:73 -> K: 22 | acc: 59.199999999999996
7:74 -> K: 20 | acc: 60.0
7:75 -> K: 22 | acc: 58.4
7:76 -> K: 22 | acc: 68.0
7:77 -> K: 22 | acc: 70.39999999999999
7:78 -> K: 21 | acc: 68.8
7:79 -> K: 22 | acc: 68.8
7:80 -> K: 22 | acc: 68.8
7:81 -> K: 22 | acc: 72.0
7:82 -> K: 22 | acc: 72.0
7:83 -> K: 21 | acc: 73.6
7:84 -> K: 23 | acc: 72.8
7:85 -> K: 22 | acc: 72.8
7:86 -> K: 23 | acc: 73.6
7:87 -> K: 23 | acc: 74.4
7:88 -> K: 23 | acc: 75.2
7:89 -> K: 23 | acc: 74.4
7:90 -> K: 23 | acc: 74.4
7:91 -> K: 23 | acc: 73.6
7:92 -> K: 23 | acc: 72.8
7:93 -> K: 22 | acc: 72.8
7:94 -> K: 21 | acc: 72.0
7:95 -> K: 22 | acc: 75.2
7:96 -> K: 22 | acc: 72.8
7:97 -> K: 23 | acc: 72.0
7:98 -> K: 24 | acc: 73.6
7:99 -> K: 23 | acc: 72.0
7:100 -> K: 23 | acc: 72.8
7:101 -> K: 22 | acc: 74.4
7:102 -> K: 23 | acc: 72.8
7:103 -> K: 23 | acc: 73.6
7:104 -> K: 24 | acc: 73.6
7:105 -> K: 24 | acc: 72.8
7:106 -> K: 23 | acc: 72.8
7:107 -> K: 23 | acc: 75.2
7:108 -> K: 21 | acc: 72.0
7:109 -> K: 24 | acc: 72.0
7:110 -> K: 22 | acc: 69.6
7:111 -> K: 23 | acc: 70.39999999999999
7:112 -> K: 21 | acc: 70.39999999999999
7:113 -> K: 21 | acc: 67.2
7:114 -> K: 24 | acc: 70.39999999999999
7:115 -> K: 24 | acc: 68.8
7:116 -> K: 20 | acc: 68.0
7:117 -> K: 20 | acc: 70.39999999999999
7:118 -> K: 20 | acc: 69.6
7:119 -> K: 21 | acc: 68.8
7:120 -> K: 21 | acc: 69.6
7:121 -> K: 21 | acc: 70.39999999999999
7:122 -> K: 24 | acc: 71.2
7:123 -> K: 24 | acc: 72.0
7:124 -> K: 21 | acc: 69.6
7:125 -> K: 21 | acc: 70.39999999999999
7:126 -> K: 23 | acc: 71.2
7:127 -> K: 23 | acc: 72.8
7:128 -> K: 23 | acc: 72.0
7:129 -> K: 22 | acc: 71.2
7:130 -> K: 22 | acc: 72.0
7:131 -> K: 23 | acc: 72.0
7:132 -> K: 23 | acc: 73.6
7:133 -> K: 23 | acc: 73.6
7:134 -> K: 23 | acc: 73.6
7:135 -> K: 23 | acc: 72.0
7:136 -> K: 23 | acc: 72.0
7:137 -> K: 23 | acc: 70.39999999999999
7:138 -> K: 23 | acc: 69.6
7:139 -> K: 23 | acc: 70.39999999999999
7:140 -> K: 23 | acc: 68.0
7:141 -> K: 24 | acc: 65.60000000000001
7:142 -> K: 24 | acc: 64.8
7:143 -> K: 24 | acc: 65.60000000000001
7:144 -> K: 24 | acc: 68.8
7:145 -> K: 24 | acc: 68.0
7:146 -> K: 24 | acc: 67.2
7:147 -> K: 23 | acc: 65.60000000000001
7:148 -> K: 23 | acc: 64.0
7:149 -> K: 24 | acc: 65.60000000000001
7:150 -> K: 23 | acc: 64.8
7:151 -> K: 24 | acc: 64.0
7:152 -> K: 24 | acc: 65.60000000000001
7:153 -> K: 23 | acc: 65.60000000000001
7:154 -> K: 23 | acc: 65.60000000000001
7:155 -> K: 24 | acc: 66.4
7:156 -> K: 23 | acc: 64.8
7:157 -> K: 23 | acc: 64.8
7:158 -> K: 24 | acc: 65.60000000000001
7:159 -> K: 23 | acc: 63.2
7:160 -> K: 24 | acc: 64.8
7:161 -> K: 24 | acc: 63.2
7:162 -> K: 24 | acc: 64.8
7:163 -> K: 24 | acc: 65.60000000000001
7:164 -> K: 24 | acc: 64.8
7:165 -> K: 24 | acc: 66.4
7:166 -> K: 24 | acc: 65.60000000000001
7:167 -> K: 24 | acc: 65.60000000000001
7:168 -> K: 24 | acc: 68.0
7:169 -> K: 24 | acc: 64.8
7:170 -> K: 24 | acc: 60.0
7:171 -> K: 24 | acc: 61.6
7:172 -> K: 23 | acc: 60.0
7:173 -> K: 23 | acc: 63.2
7:174 -> K: 23 | acc: 63.2
7:175 -> K: 23 | acc: 61.6
7:176 -> K: 23 | acc: 64.0
7:177 -> K: 23 | acc: 61.6
7:178 -> K: 22 | acc: 61.6
7:179 -> K: 24 | acc: 62.4
7:180 -> K: 23 | acc: 60.8
7:181 -> K: 22 | acc: 59.199999999999996
7:182 -> K: 23 | acc: 59.199999999999996
7:183 -> K: 23 | acc: 60.0
7:184 -> K: 23 | acc: 59.199999999999996
7:185 -> K: 22 | acc: 60.0
7:186 -> K: 22 | acc: 60.0
7:187 -> K: 23 | acc: 60.0
7:188 -> K: 23 | acc: 60.0
7:189 -> K: 23 | acc: 62.4
7:190 -> K: 23 | acc: 63.2
7:191 -> K: 23 | acc: 63.2
7:192 -> K: 24 | acc: 62.4
7:193 -> K: 24 | acc: 62.4
7:194 -> K: 24 | acc: 60.8
7:195 -> K: 24 | acc: 60.0
7:196 -> K: 24 | acc: 58.4
7:197 -> K: 24 | acc: 60.0
7:198 -> K: 24 | acc: 58.4
7:199 -> K: 24 | acc: 59.199999999999996
7:200 -> K: 24 | acc: 55.2
7:201 -> K: 22 | acc: 55.2
7:202 -> K: 24 | acc: 57.599999999999994
7:203 -> K: 24 | acc: 59.199999999999996
7:204 -> K: 24 | acc: 60.0
7:205 -> K: 24 | acc: 57.599999999999994
7:206 -> K: 23 | acc: 57.599999999999994
7:207 -> K: 23 | acc: 57.599999999999994
7:208 -> K: 23 | acc: 58.4
7:209 -> K: 23 | acc: 58.4
7:210 -> K: 23 | acc: 58.4
7:211 -> K: 23 | acc: 58.4
7:212 -> K: 23 | acc: 56.8
7:213 -> K: 22 | acc: 56.8
7:214 -> K: 22 | acc: 56.8
7:215 -> K: 22 | acc: 56.8
7:216 -> K: 22 | acc: 56.8
7:217 -> K: 22 | acc: 57.599999999999994
7:218 -> K: 22 | acc: 57.599999999999994
7:219 -> K: 22 | acc: 56.8
7:220 -> K: 22 | acc: 56.8
7:221 -> K: 22 | acc: 56.00000000000001
7:222 -> K: 22 | acc: 56.00000000000001
7:223 -> K: 22 | acc: 56.8
7:224 -> K: 22 | acc: 56.8
7:225 -> K: 22 | acc: 56.00000000000001
7:226 -> K: 22 | acc: 56.8
7:227 -> K: 22 | acc: 56.8
7:228 -> K: 22 | acc: 56.8
7:229 -> K: 22 | acc: 56.8
7:230 -> K: 22 | acc: 56.8
7:231 -> K: 22 | acc: 56.00000000000001
7:232 -> K: 22 | acc: 56.8
7:233 -> K: 22 | acc: 56.00000000000001
7:234 -> K: 22 | acc: 56.00000000000001
7:235 -> K: 22 | acc: 56.00000000000001
7:236 -> K: 22 | acc: 56.8
7:237 -> K: 22 | acc: 56.8
7:238 -> K: 22 | acc: 56.8
7:239 -> K: 22 | acc: 56.8
7:240 -> K: 22 | acc: 56.8
7:241 -> K: 22 | acc: 56.8
7:242 -> K: 22 | acc: 56.8
7:243 -> K: 22 | acc: 56.8
7:244 -> K: 22 | acc: 56.8
7:245 -> K: 22 | acc: 56.8
7:246 -> K: 22 | acc: 56.8
8:65 -> K: 20 | acc: 55.2
8:66 -> K: 22 | acc: 56.00000000000001
8:67 -> K: 24 | acc: 55.2
8:68 -> K: 22 | acc: 60.8
8:69 -> K: 23 | acc: 63.2
8:70 -> K: 22 | acc: 63.2
8:71 -> K: 23 | acc: 62.4
8:72 -> K: 23 | acc: 61.6
8:73 -> K: 24 | acc: 59.199999999999996
8:74 -> K: 23 | acc: 59.199999999999996
8:75 -> K: 21 | acc: 57.599999999999994
8:76 -> K: 24 | acc: 68.0
8:77 -> K: 23 | acc: 67.2
8:78 -> K: 24 | acc: 66.4
8:79 -> K: 21 | acc: 67.2
8:80 -> K: 21 | acc: 67.2
8:81 -> K: 22 | acc: 71.2
8:82 -> K: 20 | acc: 69.6
8:83 -> K: 22 | acc: 70.39999999999999
8:84 -> K: 23 | acc: 69.6
8:85 -> K: 20 | acc: 68.8
8:86 -> K: 24 | acc: 74.4
8:87 -> K: 21 | acc: 75.2
8:88 -> K: 21 | acc: 75.2
8:89 -> K: 20 | acc: 74.4
8:90 -> K: 21 | acc: 72.8
8:91 -> K: 21 | acc: 74.4
8:92 -> K: 24 | acc: 73.6
8:93 -> K: 23 | acc: 72.8
8:94 -> K: 24 | acc: 75.2
8:95 -> K: 22 | acc: 74.4
8:96 -> K: 24 | acc: 72.8
8:97 -> K: 24 | acc: 73.6
8:98 -> K: 24 | acc: 72.0
8:99 -> K: 23 | acc: 72.0
8:100 -> K: 21 | acc: 71.2
8:101 -> K: 22 | acc: 72.8
8:102 -> K: 24 | acc: 74.4
8:103 -> K: 22 | acc: 72.0
8:104 -> K: 23 | acc: 72.8
8:105 -> K: 22 | acc: 74.4
8:106 -> K: 22 | acc: 74.4
8:107 -> K: 21 | acc: 74.4
8:108 -> K: 21 | acc: 74.4
8:109 -> K: 21 | acc: 70.39999999999999
8:110 -> K: 22 | acc: 72.0
8:111 -> K: 20 | acc: 68.8
8:112 -> K: 24 | acc: 69.6
8:113 -> K: 24 | acc: 70.39999999999999
8:114 -> K: 24 | acc: 71.2
8:115 -> K: 24 | acc: 71.2
8:116 -> K: 24 | acc: 72.8
8:117 -> K: 21 | acc: 72.0
8:118 -> K: 21 | acc: 72.0
8:119 -> K: 22 | acc: 72.0
8:120 -> K: 21 | acc: 71.2
8:121 -> K: 24 | acc: 72.8
8:122 -> K: 24 | acc: 75.2
8:123 -> K: 24 | acc: 75.2
8:124 -> K: 24 | acc: 75.2
8:125 -> K: 23 | acc: 72.0
8:126 -> K: 24 | acc: 72.8
8:127 -> K: 24 | acc: 75.2
8:128 -> K: 22 | acc: 72.8
8:129 -> K: 23 | acc: 72.0
8:130 -> K: 23 | acc: 73.6
8:131 -> K: 23 | acc: 76.0
8:132 -> K: 23 | acc: 75.2
8:133 -> K: 23 | acc: 73.6
8:134 -> K: 23 | acc: 72.8
8:135 -> K: 23 | acc: 72.0
8:136 -> K: 23 | acc: 72.8
8:137 -> K: 23 | acc: 73.6
8:138 -> K: 23 | acc: 70.39999999999999
8:139 -> K: 23 | acc: 68.8
8:140 -> K: 23 | acc: 69.6
8:141 -> K: 23 | acc: 68.8
8:142 -> K: 24 | acc: 70.39999999999999
8:143 -> K: 23 | acc: 69.6
8:144 -> K: 23 | acc: 68.8
8:145 -> K: 23 | acc: 69.6
8:146 -> K: 23 | acc: 68.0
8:147 -> K: 23 | acc: 68.0
8:148 -> K: 23 | acc: 70.39999999999999
8:149 -> K: 24 | acc: 70.39999999999999
8:150 -> K: 24 | acc: 68.0
8:151 -> K: 24 | acc: 66.4
8:152 -> K: 23 | acc: 66.4
8:153 -> K: 23 | acc: 68.0
8:154 -> K: 24 | acc: 66.4
8:155 -> K: 24 | acc: 67.2
8:156 -> K: 24 | acc: 70.39999999999999
8:157 -> K: 24 | acc: 67.2
8:158 -> K: 24 | acc: 64.8
8:159 -> K: 24 | acc: 63.2
8:160 -> K: 23 | acc: 64.8
8:161 -> K: 23 | acc: 64.8
8:162 -> K: 24 | acc: 66.4
8:163 -> K: 23 | acc: 65.60000000000001
8:164 -> K: 24 | acc: 65.60000000000001
8:165 -> K: 24 | acc: 68.0
8:166 -> K: 24 | acc: 66.4
8:167 -> K: 24 | acc: 68.8
8:168 -> K: 23 | acc: 67.2
8:169 -> K: 24 | acc: 68.0
8:170 -> K: 24 | acc: 66.4
8:171 -> K: 24 | acc: 68.0
8:172 -> K: 24 | acc: 68.0
8:173 -> K: 24 | acc: 68.8
8:174 -> K: 24 | acc: 68.0
8:175 -> K: 24 | acc: 69.6
8:176 -> K: 24 | acc: 69.6
8:177 -> K: 24 | acc: 72.0
8:178 -> K: 23 | acc: 67.2
8:179 -> K: 23 | acc: 67.2
8:180 -> K: 24 | acc: 67.2
8:181 -> K: 24 | acc: 65.60000000000001
8:182 -> K: 23 | acc: 64.8
8:183 -> K: 23 | acc: 67.2
8:184 -> K: 23 | acc: 64.8
8:185 -> K: 24 | acc: 64.8
8:186 -> K: 23 | acc: 64.0
8:187 -> K: 23 | acc: 61.6
8:188 -> K: 23 | acc: 63.2
8:189 -> K: 24 | acc: 63.2
8:190 -> K: 23 | acc: 60.0
8:191 -> K: 24 | acc: 61.6
8:192 -> K: 24 | acc: 62.4
8:193 -> K: 24 | acc: 61.6
8:194 -> K: 24 | acc: 60.8
8:195 -> K: 23 | acc: 58.4
8:196 -> K: 24 | acc: 60.0
8:197 -> K: 24 | acc: 60.8
8:198 -> K: 24 | acc: 60.8
8:199 -> K: 24 | acc: 59.199999999999996
8:200 -> K: 24 | acc: 59.199999999999996
8:201 -> K: 24 | acc: 59.199999999999996
8:202 -> K: 24 | acc: 60.8
8:203 -> K: 23 | acc: 58.4
8:204 -> K: 24 | acc: 60.0
8:205 -> K: 24 | acc: 59.199999999999996
8:206 -> K: 24 | acc: 60.8
8:207 -> K: 24 | acc: 60.0
8:208 -> K: 24 | acc: 60.0
8:209 -> K: 24 | acc: 59.199999999999996
8:210 -> K: 24 | acc: 60.0
8:211 -> K: 24 | acc: 58.4
8:212 -> K: 23 | acc: 58.4
8:213 -> K: 23 | acc: 59.199999999999996
8:214 -> K: 24 | acc: 58.4
8:215 -> K: 23 | acc: 58.4
8:216 -> K: 24 | acc: 59.199999999999996
8:217 -> K: 23 | acc: 58.4
8:218 -> K: 23 | acc: 59.199999999999996
8:219 -> K: 23 | acc: 58.4
8:220 -> K: 23 | acc: 59.199999999999996
8:221 -> K: 23 | acc: 59.199999999999996
8:222 -> K: 23 | acc: 59.199999999999996
8:223 -> K: 23 | acc: 59.199999999999996
8:224 -> K: 23 | acc: 59.199999999999996
8:225 -> K: 23 | acc: 58.4
8:226 -> K: 23 | acc: 58.4
8:227 -> K: 23 | acc: 57.599999999999994
8:228 -> K: 23 | acc: 57.599999999999994
8:229 -> K: 23 | acc: 57.599999999999994
8:230 -> K: 23 | acc: 57.599999999999994
8:231 -> K: 23 | acc: 58.4
8:232 -> K: 23 | acc: 58.4
8:233 -> K: 23 | acc: 58.4
8:234 -> K: 23 | acc: 57.599999999999994
8:235 -> K: 23 | acc: 57.599999999999994
8:236 -> K: 24 | acc: 57.599999999999994
8:237 -> K: 24 | acc: 58.4
8:238 -> K: 24 | acc: 57.599999999999994
8:239 -> K: 23 | acc: 56.8
8:240 -> K: 23 | acc: 56.8
8:241 -> K: 23 | acc: 56.8
8:242 -> K: 23 | acc: 56.8
8:243 -> K: 23 | acc: 56.8
8:244 -> K: 23 | acc: 56.8
8:245 -> K: 23 | acc: 56.8
8:246 -> K: 23 | acc: 56.8
8:247 -> K: 23 | acc: 56.8
8:248 -> K: 23 | acc: 56.8
8:249 -> K: 23 | acc: 56.8
9:65 -> K: 20 | acc: 56.00000000000001
9:66 -> K: 21 | acc: 57.599999999999994
9:67 -> K: 21 | acc: 56.00000000000001
9:68 -> K: 22 | acc: 64.8
9:69 -> K: 22 | acc: 63.2
9:70 -> K: 21 | acc: 62.4
9:71 -> K: 22 | acc: 62.4
9:72 -> K: 23 | acc: 63.2
9:73 -> K: 20 | acc: 60.8
9:74 -> K: 24 | acc: 61.6
9:75 -> K: 24 | acc: 62.4
9:76 -> K: 22 | acc: 70.39999999999999
9:77 -> K: 21 | acc: 70.39999999999999
9:78 -> K: 20 | acc: 71.2
9:79 -> K: 23 | acc: 73.6
9:80 -> K: 21 | acc: 72.0
9:81 -> K: 23 | acc: 75.2
9:82 -> K: 22 | acc: 75.2
9:83 -> K: 23 | acc: 76.0
9:84 -> K: 23 | acc: 76.8
9:85 -> K: 22 | acc: 74.4
9:86 -> K: 23 | acc: 76.0
9:87 -> K: 23 | acc: 79.2
9:88 -> K: 23 | acc: 80.80000000000001
9:89 -> K: 23 | acc: 77.60000000000001
9:90 -> K: 23 | acc: 76.0
9:91 -> K: 21 | acc: 73.6
9:92 -> K: 23 | acc: 76.0
9:93 -> K: 23 | acc: 76.0
9:94 -> K: 24 | acc: 74.4
9:95 -> K: 24 | acc: 76.8
9:96 -> K: 21 | acc: 73.6
9:97 -> K: 23 | acc: 76.0
9:98 -> K: 23 | acc: 74.4
9:99 -> K: 24 | acc: 74.4
9:100 -> K: 21 | acc: 75.2
9:101 -> K: 24 | acc: 80.0
9:102 -> K: 24 | acc: 76.8
9:103 -> K: 23 | acc: 75.2
9:104 -> K: 23 | acc: 74.4
9:105 -> K: 21 | acc: 72.8
9:106 -> K: 22 | acc: 74.4
9:107 -> K: 23 | acc: 72.8
9:108 -> K: 21 | acc: 71.2
9:109 -> K: 21 | acc: 72.8
9:110 -> K: 24 | acc: 72.8
9:111 -> K: 22 | acc: 72.8
9:112 -> K: 22 | acc: 72.8
9:113 -> K: 22 | acc: 72.8
9:114 -> K: 22 | acc: 74.4
9:115 -> K: 21 | acc: 72.8
9:116 -> K: 21 | acc: 72.8
9:117 -> K: 22 | acc: 73.6
9:118 -> K: 21 | acc: 71.2
9:119 -> K: 22 | acc: 71.2
9:120 -> K: 24 | acc: 71.2
9:121 -> K: 23 | acc: 74.4
9:122 -> K: 24 | acc: 76.0
9:123 -> K: 24 | acc: 72.8
9:124 -> K: 24 | acc: 73.6
9:125 -> K: 24 | acc: 73.6
9:126 -> K: 24 | acc: 72.8
9:127 -> K: 24 | acc: 72.0
9:128 -> K: 21 | acc: 70.39999999999999
9:129 -> K: 23 | acc: 71.2
9:130 -> K: 23 | acc: 72.0
9:131 -> K: 23 | acc: 72.0
9:132 -> K: 23 | acc: 73.6
9:133 -> K: 23 | acc: 73.6
9:134 -> K: 23 | acc: 72.8
9:135 -> K: 23 | acc: 72.0
