1:65 -> K: 22 | acc: 33.6
1:66 -> K: 20 | acc: 34.4
1:67 -> K: 22 | acc: 35.199999999999996
1:68 -> K: 20 | acc: 32.800000000000004
1:69 -> K: 22 | acc: 35.199999999999996
1:70 -> K: 22 | acc: 34.4
1:71 -> K: 20 | acc: 33.6
1:72 -> K: 22 | acc: 35.199999999999996
1:73 -> K: 20 | acc: 35.199999999999996
1:74 -> K: 20 | acc: 32.800000000000004
1:75 -> K: 21 | acc: 33.6
1:76 -> K: 23 | acc: 36.8
1:77 -> K: 22 | acc: 36.8
1:78 -> K: 22 | acc: 36.0
1:79 -> K: 22 | acc: 36.0
1:80 -> K: 22 | acc: 35.199999999999996
1:81 -> K: 21 | acc: 34.4
1:82 -> K: 22 | acc: 34.4
1:83 -> K: 22 | acc: 37.6
1:84 -> K: 22 | acc: 35.199999999999996
1:85 -> K: 22 | acc: 34.4
1:86 -> K: 20 | acc: 35.199999999999996
1:87 -> K: 24 | acc: 36.0
1:88 -> K: 22 | acc: 36.8
1:89 -> K: 24 | acc: 35.199999999999996
1:90 -> K: 24 | acc: 34.4
1:91 -> K: 23 | acc: 34.4
1:92 -> K: 22 | acc: 34.4
1:93 -> K: 24 | acc: 35.199999999999996
1:94 -> K: 20 | acc: 34.4
1:95 -> K: 24 | acc: 35.199999999999996
1:96 -> K: 23 | acc: 34.4
1:97 -> K: 24 | acc: 35.199999999999996
1:98 -> K: 20 | acc: 32.800000000000004
1:99 -> K: 24 | acc: 33.6
1:100 -> K: 20 | acc: 35.199999999999996
1:101 -> K: 20 | acc: 33.6
1:102 -> K: 22 | acc: 35.199999999999996
1:103 -> K: 21 | acc: 34.4
1:104 -> K: 24 | acc: 36.0
1:105 -> K: 24 | acc: 36.0
1:106 -> K: 22 | acc: 32.0
1:107 -> K: 23 | acc: 34.4
1:108 -> K: 20 | acc: 32.800000000000004
1:109 -> K: 20 | acc: 33.6
1:110 -> K: 20 | acc: 34.4
1:111 -> K: 22 | acc: 33.6
1:112 -> K: 23 | acc: 35.199999999999996
1:113 -> K: 24 | acc: 35.199999999999996
1:114 -> K: 24 | acc: 35.199999999999996
1:115 -> K: 23 | acc: 34.4
1:116 -> K: 22 | acc: 36.8
1:117 -> K: 23 | acc: 35.199999999999996
1:118 -> K: 24 | acc: 35.199999999999996
1:119 -> K: 23 | acc: 36.8
1:120 -> K: 23 | acc: 36.8
1:121 -> K: 20 | acc: 39.2
1:122 -> K: 23 | acc: 38.4
1:123 -> K: 22 | acc: 37.6
1:124 -> K: 22 | acc: 39.2
1:125 -> K: 22 | acc: 40.0
1:126 -> K: 23 | acc: 38.4
1:127 -> K: 21 | acc: 38.4
1:128 -> K: 22 | acc: 39.2
1:129 -> K: 22 | acc: 39.2
1:130 -> K: 22 | acc: 37.6
1:131 -> K: 22 | acc: 36.8
1:132 -> K: 23 | acc: 39.2
1:133 -> K: 22 | acc: 38.4
1:134 -> K: 20 | acc: 36.8
1:135 -> K: 21 | acc: 38.4
1:136 -> K: 21 | acc: 36.8
1:137 -> K: 20 | acc: 36.8
1:138 -> K: 22 | acc: 38.4
1:139 -> K: 22 | acc: 38.4
1:140 -> K: 21 | acc: 36.0
1:141 -> K: 22 | acc: 36.8
1:142 -> K: 22 | acc: 38.4
1:143 -> K: 22 | acc: 36.8
1:144 -> K: 20 | acc: 34.4
1:145 -> K: 22 | acc: 36.8
1:146 -> K: 20 | acc: 36.8
1:147 -> K: 20 | acc: 36.8
1:148 -> K: 22 | acc: 36.0
1:149 -> K: 22 | acc: 35.199999999999996
1:150 -> K: 22 | acc: 36.8
1:151 -> K: 24 | acc: 36.8
1:152 -> K: 23 | acc: 36.0
1:153 -> K: 24 | acc: 36.8
1:154 -> K: 23 | acc: 36.0
1:155 -> K: 24 | acc: 37.6
1:156 -> K: 24 | acc: 36.8
1:157 -> K: 22 | acc: 35.199999999999996
1:158 -> K: 23 | acc: 36.8
1:159 -> K: 23 | acc: 37.6
1:160 -> K: 24 | acc: 36.8
1:161 -> K: 22 | acc: 36.8
1:162 -> K: 23 | acc: 38.4
1:163 -> K: 22 | acc: 36.8
1:164 -> K: 22 | acc: 37.6
1:165 -> K: 22 | acc: 35.199999999999996
1:166 -> K: 22 | acc: 36.0
1:167 -> K: 22 | acc: 35.199999999999996
1:168 -> K: 21 | acc: 35.199999999999996
1:169 -> K: 23 | acc: 34.4
1:170 -> K: 22 | acc: 35.199999999999996
1:171 -> K: 23 | acc: 36.0
1:172 -> K: 20 | acc: 36.0
1:173 -> K: 20 | acc: 37.6
1:174 -> K: 20 | acc: 36.0
1:175 -> K: 23 | acc: 36.0
1:176 -> K: 23 | acc: 36.0
1:177 -> K: 21 | acc: 37.6
1:178 -> K: 22 | acc: 36.8
1:179 -> K: 20 | acc: 36.8
1:180 -> K: 20 | acc: 35.199999999999996
1:181 -> K: 22 | acc: 36.8
1:182 -> K: 21 | acc: 36.0
1:183 -> K: 21 | acc: 37.6
1:184 -> K: 22 | acc: 36.8
1:185 -> K: 21 | acc: 36.0
1:186 -> K: 21 | acc: 36.0
1:187 -> K: 22 | acc: 36.0
